timestamp, power.draw [W], utilization.gpu [%]
2026/02/12 17:12:40.968, 10.99 W, 0 %
2026/02/12 17:12:41.968, 10.70 W, 0 %
2026/02/12 17:12:42.968, 10.81 W, 0 %
2026/02/12 17:12:43.968, 10.72 W, 0 %
2026/02/12 17:12:44.968, 10.89 W, 0 %
2026/02/12 17:12:45.969, 10.97 W, 0 %
2026/02/12 17:12:46.969, 10.93 W, 0 %
2026/02/12 17:12:47.969, 11.10 W, 0 %
2026/02/12 17:12:48.969, 10.39 W, 0 %
2026/02/12 17:12:49.969, 10.32 W, 0 %
2026/02/12 17:12:50.969, 10.12 W, 0 %
2026/02/12 17:12:51.969, 10.18 W, 0 %
2026/02/12 17:12:52.970, 10.34 W, 0 %
2026/02/12 17:12:53.970, 10.66 W, 0 %
2026/02/12 17:12:54.970, 11.26 W, 0 %
2026/02/12 17:12:55.970, 11.78 W, 0 %
2026/02/12 17:12:56.970, 11.79 W, 0 %
2026/02/12 17:12:57.970, 11.98 W, 0 %
2026/02/12 17:12:58.971, 11.37 W, 0 %
2026/02/12 17:12:59.971, 11.20 W, 0 %
2026/02/12 17:13:00.971, 10.68 W, 0 %
2026/02/12 17:13:01.971, 10.71 W, 0 %
2026/02/12 17:13:02.971, 10.48 W, 0 %
2026/02/12 17:13:03.971, 10.85 W, 0 %
2026/02/12 17:13:04.971, 10.76 W, 0 %
2026/02/12 17:13:05.972, 10.82 W, 0 %
2026/02/12 17:13:06.972, 10.89 W, 0 %
2026/02/12 17:13:07.972, 10.81 W, 0 %
2026/02/12 17:13:08.972, 10.59 W, 0 %
2026/02/12 17:13:09.972, 10.85 W, 0 %
2026/02/12 17:13:10.972, 10.92 W, 0 %
2026/02/12 17:13:11.973, 10.84 W, 0 %
2026/02/12 17:13:12.973, 10.46 W, 0 %
2026/02/12 17:13:13.973, 10.51 W, 0 %
2026/02/12 17:13:14.973, 10.35 W, 0 %
2026/02/12 17:13:15.973, 10.25 W, 0 %
2026/02/12 17:13:16.973, 10.42 W, 0 %
2026/02/12 17:13:17.974, 11.00 W, 0 %
2026/02/12 17:13:18.974, 10.96 W, 0 %
2026/02/12 17:13:19.974, 10.62 W, 0 %
2026/02/12 17:13:20.974, 10.98 W, 0 %
2026/02/12 17:13:21.974, 11.14 W, 0 %
2026/02/12 17:13:22.974, 11.08 W, 0 %
2026/02/12 17:13:23.974, 11.17 W, 0 %
2026/02/12 17:13:24.975, 10.72 W, 0 %
2026/02/12 17:13:25.975, 10.87 W, 0 %
2026/02/12 17:13:26.975, 10.41 W, 0 %
