timestamp, power.draw [W], utilization.gpu [%]
2025/12/19 10:29:53.056, 319.52 W, 100 %
2025/12/19 10:29:54.056, 317.57 W, 100 %
2025/12/19 10:29:55.056, 322.03 W, 100 %
2025/12/19 10:29:56.057, 319.04 W, 100 %
2025/12/19 10:29:57.057, 319.76 W, 100 %
2025/12/19 10:29:58.057, 321.63 W, 100 %
2025/12/19 10:29:59.057, 319.72 W, 100 %
2025/12/19 10:30:00.057, 319.34 W, 100 %
2025/12/19 10:30:01.057, 320.14 W, 100 %
2025/12/19 10:30:02.058, 318.83 W, 100 %
2025/12/19 10:30:03.058, 319.35 W, 100 %
2025/12/19 10:30:04.058, 319.12 W, 100 %
2025/12/19 10:30:05.058, 320.41 W, 100 %
2025/12/19 10:30:06.058, 318.71 W, 100 %
2025/12/19 10:30:07.058, 319.71 W, 100 %
2025/12/19 10:30:08.058, 319.52 W, 100 %
2025/12/19 10:30:09.059, 319.13 W, 100 %
2025/12/19 10:30:10.059, 319.28 W, 100 %
2025/12/19 10:30:11.059, 319.89 W, 100 %
2025/12/19 10:30:12.059, 319.15 W, 100 %
2025/12/19 10:30:13.059, 318.94 W, 100 %
2025/12/19 10:30:14.059, 320.00 W, 100 %
2025/12/19 10:30:15.059, 317.98 W, 100 %
2025/12/19 10:30:16.060, 319.77 W, 100 %
2025/12/19 10:30:17.060, 320.18 W, 100 %
2025/12/19 10:30:18.060, 317.89 W, 100 %
2025/12/19 10:30:19.060, 318.85 W, 100 %
2025/12/19 10:30:20.060, 319.78 W, 100 %
2025/12/19 10:30:21.060, 317.30 W, 100 %
2025/12/19 10:30:22.060, 319.36 W, 100 %
2025/12/19 10:30:23.061, 319.31 W, 100 %
2025/12/19 10:30:24.061, 316.39 W, 100 %
2025/12/19 10:30:25.061, 319.06 W, 100 %
2025/12/19 10:30:26.061, 319.29 W, 100 %
2025/12/19 10:30:27.061, 317.62 W, 100 %
2025/12/19 10:30:28.061, 317.55 W, 100 %
