         Time         	W	
 03/01/2011 06:40:18	-63,5250	
 03/01/2011 06:40:19	-64,4240	
 03/01/2011 06:40:20	-64,9170	
 03/01/2011 06:40:21	-66,3360	
 03/01/2011 06:40:22	-66,3850	
 03/01/2011 06:40:23	-64,3200	
 03/01/2011 06:40:24	-65,6780	
 03/01/2011 06:40:25	-66,6220	
 03/01/2011 06:40:26	-66,2810	
 03/01/2011 06:40:27	-66,5640	
 03/01/2011 06:40:28	-65,0530	
 03/01/2011 06:40:29	-64,7130	
 03/01/2011 06:40:30	-64,1590	
 03/01/2011 06:40:31	-65,2910	
 03/01/2011 06:40:32	-65,5660	
 03/01/2011 06:40:33	-65,0650	
 03/01/2011 06:40:34	-67,0530	
 03/01/2011 06:40:35	-66,3810	
 03/01/2011 06:40:36	-66,2380	
 03/01/2011 06:40:37	-66,6290	
 03/01/2011 06:40:38	-64,9410	
 03/01/2011 06:40:39	-64,6170	
 03/01/2011 06:40:40	-64,2870	
 03/01/2011 06:40:41	-62,5690	
 03/01/2011 06:40:42	-63,7500	
 03/01/2011 06:40:43	-64,8980	
 03/01/2011 06:40:44	-65,7720	
 03/01/2011 06:40:45	-67,4340	
 03/01/2011 06:40:46	-65,9240	
 03/01/2011 06:40:47	-65,4140	
 03/01/2011 06:40:48	-63,9590	
 03/01/2011 06:40:49	-63,9810	
 03/01/2011 06:40:50	-64,5330	
 03/01/2011 06:40:51	-64,0550	
 03/01/2011 06:40:52	-65,2740	
 03/01/2011 06:40:53	-63,9960	
 03/01/2011 06:40:54	-65,3320	
 03/01/2011 06:40:55	-66,5810	
 03/01/2011 06:40:56	-65,6070	
 03/01/2011 06:40:57	-66,4480	
 03/01/2011 06:40:58	-66,4560	
 03/01/2011 06:40:59	-65,8290	
 03/01/2011 06:41:00	-66,9920	
 03/01/2011 06:41:01	-65,9650	
 03/01/2011 06:41:02	-64,1840	
 03/01/2011 06:41:03	-63,9860	
 03/01/2011 06:41:04	-63,7790	
 03/01/2011 06:41:05	-65,1160	
 03/01/2011 06:41:06	-63,8320	
 03/01/2011 06:41:07	-63,6640	
 03/01/2011 06:41:08	-62,7860	
 03/01/2011 06:41:09	-61,9770	
 03/01/2011 06:41:10	-62,5860	
 03/01/2011 06:41:11	-61,7410	
 03/01/2011 06:41:12	-62,3370	
 03/01/2011 06:41:13	-61,3770	
 03/01/2011 06:41:14	-63,5420	
 03/01/2011 06:41:15	-64,6940	
 03/01/2011 06:41:16	-64,3550	
 03/01/2011 06:41:17	-65,0510	
 03/01/2011 06:41:18	-63,0450	
 03/01/2011 06:41:19	-64,9080	
 03/01/2011 06:41:20	-65,5340	
 03/01/2011 06:41:21	-66,7980	
 03/01/2011 06:41:22	-67,3360	
 03/01/2011 06:41:23	-64,7370	
 03/01/2011 06:41:24	-65,0850	
 03/01/2011 06:41:25	-63,7870	
 03/01/2011 06:41:26	-63,6590	
 03/01/2011 06:41:27	-62,6400	
 03/01/2011 06:41:28	-61,2930	
 03/01/2011 06:41:29	-60,5400	
 03/01/2011 06:41:30	-61,7890	
 03/01/2011 06:41:31	-63,6100	
 03/01/2011 06:41:32	-65,0080	
 03/01/2011 06:41:33	-65,4980	
 03/01/2011 06:41:34	-65,2870	
 03/01/2011 06:41:35	-64,7980	
 03/01/2011 06:41:36	-64,1180	
 03/01/2011 06:41:37	-64,0290	
 03/01/2011 06:41:38	-63,4910	
 03/01/2011 06:41:39	-63,3700	
 03/01/2011 06:41:40	-62,8760	
 03/01/2011 06:41:41	-63,7190	
 03/01/2011 06:41:42	-64,5260	
 03/01/2011 06:41:43	-64,2000	
 03/01/2011 06:41:44	-65,1480	
 03/01/2011 06:41:45	-65,9470	
 03/01/2011 06:41:46	-65,6450	
 03/01/2011 06:41:47	-64,8360	
 03/01/2011 06:41:48	-64,3710	
 03/01/2011 06:41:49	-62,5260	
 03/01/2011 06:41:50	-62,3030	
 03/01/2011 06:41:51	-62,6580	
 03/01/2011 06:41:52	-63,2900	
 03/01/2011 06:41:53	-64,0430	
 03/01/2011 06:41:54	-64,6610	
 03/01/2011 06:41:55	-65,1640	
 03/01/2011 06:41:56	-65,6280	
 03/01/2011 06:41:57	-64,9250	
 03/01/2011 06:41:58	-64,0610	
 03/01/2011 06:41:59	-64,1850	
 03/01/2011 06:42:00	-63,1200	
 03/01/2011 06:42:01	-63,0900	
 03/01/2011 06:42:02	-63,4180	
 03/01/2011 06:42:03	-63,1100	
 03/01/2011 06:42:04	-64,1670	
 03/01/2011 06:42:05	-64,5510	
 03/01/2011 06:42:06	-64,4480	
 03/01/2011 06:42:07	-64,5310	
 03/01/2011 06:42:08	-64,1470	
 03/01/2011 06:42:09	-65,0190	
 03/01/2011 06:42:10	-64,6320	
 03/01/2011 06:42:11	-64,3530	
 03/01/2011 06:42:12	-63,1450	
 03/01/2011 06:42:13	-62,0460	
 03/01/2011 06:42:14	-63,7310	
 03/01/2011 06:42:15	-64,4570	
 03/01/2011 06:42:16	-65,4360	
 03/01/2011 06:42:17	-65,8390	
 03/01/2011 06:42:18	-64,2880	
 03/01/2011 06:42:19	-64,5630	
 03/01/2011 06:42:20	-65,3330	
