timestamp, power.draw [W], utilization.gpu [%]
2025/12/05 13:43:45.218, 12.21 W, 0 %
2025/12/05 13:43:46.218, 12.21 W, 0 %
2025/12/05 13:43:47.219, 12.19 W, 0 %
2025/12/05 13:43:48.219, 12.14 W, 0 %
2025/12/05 13:43:49.219, 12.12 W, 0 %
2025/12/05 13:43:50.219, 12.26 W, 0 %
2025/12/05 13:43:51.220, 12.19 W, 0 %
2025/12/05 13:43:52.220, 12.21 W, 0 %
2025/12/05 13:43:53.220, 12.21 W, 0 %
2025/12/05 13:43:54.220, 12.11 W, 0 %
2025/12/05 13:43:55.220, 12.07 W, 0 %
2025/12/05 13:43:56.221, 12.15 W, 0 %
2025/12/05 13:43:57.221, 12.29 W, 0 %
2025/12/05 13:43:58.221, 12.21 W, 0 %
2025/12/05 13:43:59.221, 12.19 W, 0 %
2025/12/05 13:44:00.222, 12.19 W, 0 %
2025/12/05 13:44:01.222, 12.29 W, 0 %
2025/12/05 13:44:02.222, 12.38 W, 0 %
2025/12/05 13:44:03.222, 12.21 W, 0 %
2025/12/05 13:44:04.223, 12.28 W, 0 %
2025/12/05 13:44:05.223, 12.42 W, 0 %
2025/12/05 13:44:06.223, 12.20 W, 0 %
2025/12/05 13:44:07.223, 12.20 W, 0 %
2025/12/05 13:44:08.223, 12.24 W, 0 %
2025/12/05 13:44:09.224, 12.21 W, 0 %
2025/12/05 13:44:10.224, 12.22 W, 0 %
2025/12/05 13:44:11.224, 12.19 W, 0 %
2025/12/05 13:44:12.224, 12.26 W, 0 %
2025/12/05 13:44:13.224, 12.17 W, 0 %
2025/12/05 13:44:14.225, 12.16 W, 0 %
2025/12/05 13:44:15.225, 12.18 W, 0 %
2025/12/05 13:44:16.225, 12.21 W, 0 %
2025/12/05 13:44:17.225, 12.19 W, 0 %
2025/12/05 13:44:18.226, 12.20 W, 0 %
2025/12/05 13:44:19.226, 12.39 W, 0 %
2025/12/05 13:44:20.226, 12.30 W, 0 %
2025/12/05 13:44:21.226, 12.24 W, 0 %
2025/12/05 13:44:22.226, 12.24 W, 0 %
2025/12/05 13:44:23.226, 12.32 W, 0 %
2025/12/05 13:44:24.227, 12.26 W, 0 %
2025/12/05 13:44:25.227, 12.31 W, 0 %
2025/12/05 13:44:26.227, 12.42 W, 0 %
2025/12/05 13:44:27.227, 12.29 W, 0 %
2025/12/05 13:44:28.228, 12.24 W, 0 %
2025/12/05 13:44:29.228, 12.24 W, 0 %
2025/12/05 13:44:30.228, 12.26 W, 0 %
2025/12/05 13:44:31.228, 12.23 W, 0 %
2025/12/05 13:44:32.228, 12.25 W, 0 %
2025/12/05 13:44:33.229, 12.44 W, 0 %
2025/12/05 13:44:34.229, 12.35 W, 0 %
2025/12/05 13:44:35.229, 12.37 W, 0 %
2025/12/05 13:44:36.229, 12.36 W, 0 %
2025/12/05 13:44:37.229, 12.27 W, 0 %
2025/12/05 13:44:38.230, 12.22 W, 0 %
2025/12/05 13:44:39.230, 12.25 W, 0 %
2025/12/05 13:44:40.230, 12.34 W, 0 %
2025/12/05 13:44:41.230, 12.29 W, 0 %
2025/12/05 13:44:42.231, 12.26 W, 0 %
2025/12/05 13:44:43.231, 12.24 W, 0 %
2025/12/05 13:44:44.231, 12.23 W, 0 %
2025/12/05 13:44:45.231, 12.17 W, 0 %
2025/12/05 13:44:46.231, 12.12 W, 0 %
2025/12/05 13:44:47.232, 12.19 W, 0 %
2025/12/05 13:44:48.232, 12.26 W, 0 %
2025/12/05 13:44:49.232, 12.18 W, 0 %
2025/12/05 13:44:50.232, 12.14 W, 0 %
2025/12/05 13:44:51.233, 12.13 W, 0 %
2025/12/05 13:44:52.233, 12.19 W, 0 %
2025/12/05 13:44:53.233, 12.20 W, 0 %
2025/12/05 13:44:54.233, 12.14 W, 0 %
2025/12/05 13:44:55.233, 12.19 W, 0 %
2025/12/05 13:44:56.234, 11.99 W, 0 %
2025/12/05 13:44:57.234, 11.98 W, 0 %
2025/12/05 13:44:58.234, 12.02 W, 0 %
2025/12/05 13:44:59.234, 12.09 W, 0 %
2025/12/05 13:45:00.234, 12.09 W, 0 %
2025/12/05 13:45:01.234, 12.04 W, 0 %
2025/12/05 13:45:02.234, 12.12 W, 0 %
2025/12/05 13:45:03.234, 11.89 W, 0 %
2025/12/05 13:45:04.235, 11.92 W, 0 %
2025/12/05 13:45:05.235, 11.95 W, 0 %
2025/12/05 13:45:06.235, 11.89 W, 0 %
2025/12/05 13:45:07.235, 11.88 W, 0 %
2025/12/05 13:45:08.235, 11.98 W, 0 %
2025/12/05 13:45:09.235, 12.12 W, 0 %
2025/12/05 13:45:10.235, 12.05 W, 0 %
2025/12/05 13:45:11.236, 12.03 W, 0 %
2025/12/05 13:45:12.236, 11.98 W, 0 %
2025/12/05 13:45:13.236, 11.94 W, 0 %
2025/12/05 13:45:14.236, 12.02 W, 0 %
2025/12/05 13:45:15.236, 12.11 W, 0 %
2025/12/05 13:45:16.236, 12.22 W, 0 %
2025/12/05 13:45:17.236, 12.08 W, 0 %
2025/12/05 13:45:18.237, 11.99 W, 0 %
2025/12/05 13:45:19.237, 12.02 W, 0 %
2025/12/05 13:45:20.237, 12.05 W, 0 %
2025/12/05 13:45:21.237, 12.00 W, 0 %
2025/12/05 13:45:22.237, 12.09 W, 0 %
2025/12/05 13:45:23.237, 12.15 W, 0 %
2025/12/05 13:45:24.238, 11.99 W, 0 %
2025/12/05 13:45:25.238, 11.99 W, 0 %
2025/12/05 13:45:26.238, 11.99 W, 0 %
2025/12/05 13:45:27.238, 11.95 W, 0 %
2025/12/05 13:45:28.238, 11.98 W, 0 %
2025/12/05 13:45:29.239, 12.11 W, 0 %
2025/12/05 13:45:30.239, 12.28 W, 0 %
2025/12/05 13:45:31.239, 12.36 W, 0 %
2025/12/05 13:45:32.239, 12.12 W, 0 %
2025/12/05 13:45:33.239, 12.06 W, 0 %
2025/12/05 13:45:34.239, 12.02 W, 0 %
2025/12/05 13:45:35.239, 12.10 W, 0 %
2025/12/05 13:45:36.239, 12.10 W, 0 %
2025/12/05 13:45:37.240, 12.15 W, 0 %
2025/12/05 13:45:38.240, 12.20 W, 0 %
2025/12/05 13:45:39.240, 12.11 W, 0 %
2025/12/05 13:45:40.240, 12.14 W, 0 %
2025/12/05 13:45:41.240, 12.13 W, 0 %
2025/12/05 13:45:42.240, 12.24 W, 0 %
2025/12/05 13:45:43.240, 12.22 W, 0 %
2025/12/05 13:45:44.240, 12.34 W, 0 %
2025/12/05 13:45:45.240, 12.44 W, 0 %
2025/12/05 13:45:46.241, 12.30 W, 0 %
2025/12/05 13:45:47.241, 12.29 W, 0 %
2025/12/05 13:45:48.241, 12.26 W, 0 %
